area,type
Trichilia_schomburgkii,trees
Unonopsis_duckei,trees
Vantanea_guianensis,trees
Vantanea_parviflora,trees
Vatairea_sericea,trees
Virola_calophylla_calophylla,trees
Virola_juruensis,trees
Virola_michelii,trees
Virola_mollissima,trees
Virola_pavonis,trees
Virola_theiodora,trees
Vismia_cayennensis,trees
Vismia_guianensis,trees
Vismia_japurensis,trees
Xylopia_amazonica,trees
Xylopia_benthamii,trees
Xylopia_calophylla,trees
Xylopia_cuspidata,trees
Zanthoxylum_djalma_batistae,trees
Zygia_juruana,trees
Zygia_racemosa,trees
Zygia_ramiflora,trees
