taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
birds	0.1843636	0.2486141	40.85331	0.5036266
birds	0.1913208	0.2493999	40.80499	0.4998751
birds	0.1827027	0.2450389	39.2272	0.4985777
birds	0.1843636	0.2432805	37.83772	0.4893259
birds	0.186055	0.2503453	40.35159	0.5157848
birds	0.1895327	0.2392657	39.34804	0.4724727
birds	0.1877778	0.2459648	39.30141	0.4907504
birds	0.1843636	0.2508899	39.29837	0.5144968
birds	0.186055	0.2466806	39.83707	0.4965454
birds	0.1895327	0.2461787	39.66162	0.4925691
birds	0.1827027	0.2609814	40.94233	0.4863716
birds	0.186055	0.2446926	41.03924	0.5114348
birds	0.1895327	0.2381725	35.73636	0.4597712
birds	0.1877778	0.2358578	40.36031	0.5067312
birds	0.179469	0.2358539	41.62628	0.5057472
birds	0.1913208	0.2408685	40.49538	0.5151247
birds	0.1843636	0.2376784	41.21943	0.5146811
birds	0.186055	0.2428914	38.50422	0.5318877
birds	0.1827027	0.2436889	39.05903	0.4962573
birds	0.186055	0.2395535	38.01425	0.4618708
birds	0.186055	0.2399387	38.32472	0.4983177
birds	0.1913208	0.2419227	39.09431	0.4932779
birds	0.1895327	0.2401877	38.6644	0.4937047
birds	0.1913208	0.2504464	40.30447	0.5039938
birds	0.1843636	0.237834	37.34629	0.5232048
birds	0.1843636	0.2429731	36.17771	0.5166014
birds	0.1913208	0.2440819	40.95082	0.519403
birds	0.1843636	0.2429809	40.15252	0.5481815
birds	0.1810714	0.2509949	40.6018	0.5318965
birds	0.1877778	0.2649378	40.61004	0.4930386
frogs	0.2824242	0.2149791	49.91356	0.6645727
frogs	0.2824242	0.2243548	46.9587	0.7035314
frogs	0.3106667	0.2283335	49.08496	0.6665541
frogs	0.2824242	0.2283704	47.30844	0.6346018
frogs	0.2741176	0.2222918	51.31992	0.6650054
frogs	0.29125	0.2221076	49.00568	0.658905
frogs	0.2824242	0.2308939	50.62472	0.710219
frogs	0.29125	0.2236549	47.47516	0.6712394
frogs	0.29125	0.2253864	46.81604	0.6517751
frogs	0.2824242	0.2132845	48.25518	0.656196
frogs	0.2824242	0.2177789	46.82262	0.7010992
frogs	0.2824242	0.2157712	48.18865	0.7109926
frogs	0.2741176	0.2231575	49.66919	0.6603345
frogs	0.2741176	0.2177421	50.5379	0.690008
frogs	0.3006452	0.2335832	52.89322	0.6959453
frogs	0.2824242	0.2231944	50.34977	0.6393558
frogs	0.29125	0.2204498	50.27813	0.631659
frogs	0.29125	0.2307834	52.54349	0.6411897
frogs	0.2741176	0.2186631	51.98164	0.6626038
frogs	0.3006452	0.2444878	49.96291	0.6910564
frogs	0.3006452	0.2203393	47.58757	0.6635508
frogs	0.2824242	0.2142423	49.00168	0.6840912
frogs	0.2741176	0.2230839	53.5875	0.6937182
frogs	0.2824242	0.2220708	51.84825	0.711666
frogs	0.29125	0.232478	45.79323	0.6641382
frogs	0.2824242	0.2096742	49.26155	0.6360373
frogs	0.2741176	0.2205235	49.41763	0.6841833
frogs	0.2824242	0.2117372	46.01125	0.6534569
frogs	0.29125	0.2228628	51.97922	0.700902
frogs	0.2824242	0.2316491	46.28538	0.7107914
frogs	0.2741176	0.2215366	47.9019	0.6661776
frogs	0.29125	0.2095268	49.2152	0.6440962
frogs	0.2824242	0.2172263	47.22008	0.7513968
frogs	0.29125	0.2224023	51.7134	0.7090666
frogs	0.2824242	0.2115898	49.93675	0.644328
frogs	0.29125	0.2184605	50.38392	0.6223328
frogs	0.2741176	0.2173368	51.38408	0.655917
frogs	0.2741176	0.2141686	47.39754	0.6330712
frogs	0.29125	0.2109267	51.53396	0.6814591
frogs	0.29125	0.2216103	48.5665	0.6187532
frogs	0.2824242	0.2198788	51.20973	0.7219064
frogs	0.2741176	0.2356831	47.92313	0.7002646
frogs	0.2824242	0.228002	53.06778	0.6713671
frogs	0.2824242	0.2315018	50.71098	0.6667882
frogs	0.2824242	0.2136713	50.28238	0.6620177
frogs	0.2741176	0.2223471	49.2006	0.6897218
frogs	0.2824242	0.2348358	49.02839	0.6084317
frogs	0.2741176	0.2230102	47.47131	0.7034643
frogs	0.2824242	0.2153659	51.35805	0.6756269
frogs	0.2824242	0.2280572	48.42733	0.6753669
frogs	0.2824242	0.2165632	49.62687	0.6943123
frogs	0.2824242	0.2317781	47.38394	0.6950829
frogs	0.29125	0.2194367	51.8375	0.6921975
frogs	0.2741176	0.2154028	49.96256	0.6613767
frogs	0.2741176	0.2310229	53.89266	0.650033
frogs	0.3006452	0.2247417	46.97693	0.6596954
frogs	0.3106667	0.2261416	47.05549	0.6497493
frogs	0.2824242	0.2220339	47.13431	0.6806187
frogs	0.2662857	0.2331227	54.1727	0.6436364
frogs	0.2824242	0.2217576	50.16081	0.6477461
frogs	0.29125	0.2228076	52.20239	0.7002068
frogs	0.29125	0.23397	49.73999	0.6696502
frogs	0.2824242	0.2082374	52.72018	0.6726655
frogs	0.2824242	0.222255	45.91971	0.7264417
frogs	0.3213793	0.2221444	50.39613	0.6458584
frogs	0.3006452	0.2066901	51.88514	0.6472873
frogs	0.2741176	0.2186447	54.67806	0.6723677
