taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
birds	Myrmornis_torquata	46.7	12.95926296	1	0.04	0	1.32978686	0.00E+00
birds	Myrmothera_campanisona	47	13.04251304	1	0.04	0	1.69650919	0.00E+00
birds	Myrmotherula_axillaris	8.09	2.244977245	20	0.8	0.0608	2.47100967	6.75E-02
birds	Myrmotherula_longipennis	9.4	2.608502609	1	0.04	0	1.42837838	0.00E+00
birds	Myrmotherula_menetriesii	8.6	2.386502387	3	0.12	0.0038	0.97460567	1.35E-03
birds	Myrmoderus_ferrugineus	26.1	7.242757243	4	0.16	0.0057	1.44845338	1.69E-03
birds	Nasica_longirostris	92	25.53002553	1	0.04	0	-1.43040423	0.00E+00
birds	Onychorhynchus_coronatus	14	3.885003885	3	0.12	0.0024	-0.31423232	5.44E-04
birds	Percnostola_rufifrons	23.89	6.629481629	12	0.48	0.0283	2.30046265	1.83E-02
birds	Phaethornis_ruber	2.4	0.666000666	10	0.4	0.0322	1.45871538	1.58E-02
birds	Phaethornis_superciliosus	6.3	1.748251748	11	0.44	0.0184	2.26896122	1.29E-02
birds	Phaethornis_bourcieri	4.3	1.193251193	6	0.24	0.0096	2.04115241	4.31E-03
birds	Pheugopedius_coraya	17.2	4.773004773	3	0.12	0.0049	1.54207278	1.44E-03
birds	Philydor_erythrocercum	25.27	7.012432012	3	0.12	0.0009	-0.37945269	2.52E-04
birds	Philydor_pyrrhodes	30.5	8.463758464	3	0.12	0.0043	1.34287433	1.13E-03
birds	Platyrinchus_coronatus	9.14	2.536352536	4	0.16	0.0066	1.77425384	2.15E-03
birds	Platyrinchus_platyrhynchos	12	3.33000333	1	0.04	0	1.54860229	0.00E+00
birds	Platyrinchus_saturatus	10.7	2.969252969	3	0.12	0.0035	1.29298382	1.13E-03
birds	Pithys_albifrons	19.47	5.402930403	4	0.16	0.0066	2.00508179	2.15E-03
birds	Pteroglossus_viridis	135	37.46253746	1	0.04	0	-1.24059017	0.00E+00
birds	Ramphastos_vitellinus	360.36	100	2	0.08	0.0011	-0.25034811	2.57E-04
birds	Ramphocelus_carbo	25.92	7.192807193	4	0.16	0.0172	-0.86118946	8.13E-03
birds	Ramphotrigon_ruficauda	18.4	5.106005106	2	0.08	0.0002	-0.55325696	6.76E-05
birds	Rhynchocyclus_olivaceus	21.3	5.910755911	3	0.12	0.0018	0.8157047	5.95E-04
birds	Rhytipterna_simplex	31.8	8.824508825	3	0.12	0.0028	-0.20047059	6.45E-04
birds	Saltator_grossus	44.2	12.26551227	1	0.04	0	1.61577704	0.00E+00
birds	Saltator_maximus	47.62	13.21456321	1	0.04	0	-0.23049714	0.00E+00
birds	Schiffornis_turdina	31.7	8.796758797	5	0.2	0.0017	-0.07557934	8.04E-04
birds	Sclerurus_caudacutus	36.23	10.05383505	1	0.04	0	1.40223879	0.00E+00
birds	Sclerurus_macconnelli	25.1	6.965256965	1	0.04	0	1.39100197	0.00E+00
birds	Sclerurus_rufigularis	21.6	5.994005994	5	0.2	0.0055	1.37077906	2.26E-03
birds	Sittasomus_griseicapillus	13.12	3.640803641	1	0.04	0	-1.57139596	0.00E+00
birds	Sporophila_angolensis	13	3.607503608	7	0.28	0.0362	0.00142536	2.75E-02
birds	Synallaxis_rutilans	16.7	4.634254634	1	0.04	0	0.64566841	0.00E+00
birds	Tangara_palmarum	39	10.82251082	2	0.08	0.0003	-1.89435741	1.83E-04
birds	Terenotriccus_erythrurus	7.4	2.053502054	3	0.12	0.0091	1.41421774	2.40E-03
birds	Thalurania_furcata	4.19	1.162726163	16	0.64	0.0447	2.68822379	3.66E-02
birds	Thamnomanes_ardesiacus	17.7	4.911754912	4	0.16	0.0031	1.46037614	1.10E-03
birds	Thamnomanes_caesius	15.7	4.356754357	5	0.2	0.0059	1.36342968	2.42E-03
birds	Thamnophilus_melanothorax	31.8	8.824508825	1	0.04	0	1.64689679	0.00E+00
birds	Thamnophilus_murinus	19.3	5.355755356	7	0.28	0.0124	1.141292	4.60E-03
birds	Thamnophilus_punctatus	19.4	5.383505384	1	0.04	0	1.25506447	0.00E+00
birds	Tolmomyias_assimilis	17	4.717504718	1	0.04	0	1.37931233	0.00E+00
